"id","title","author"
360,"外科室","泉 鏡花"
1227,"三十年後の東京","海野 十三"
1792,"僕の孤独癖について","萩原 朔太郎"
424,"檸檬","梶井 基次郎"
1791,"月の詩情","萩原 朔太郎"
43644,"犬を連れた奥さん","チェーホフ アントン"
329,"武蔵野","国木田 独歩"
691,"高瀬舟","森 鴎外"
635,"おじいさんのランプ","新美 南吉"
45761,"河童","芥川 竜之介"
56648,"人間椅子","江戸川 乱歩"
42941,"イワンの馬鹿","トルストイ レオ"
622,"文字禍","中島 敦"
530,"黒猫","ポー エドガー・アラン"
799,"夢十夜","夏目 漱石"
624,"山月記","中島 敦"
49864,"断食芸人","カフカ フランツ"
42618,"桜の森の満開の下","坂口 安吾"
1814,"風琴と魚の町","林 芙美子"
388,"大つごもり","樋口 一葉"
641,"猫町","萩原 朔太郎"
1567,"走れメロス","太宰 治"
56645,"押絵と旅する男","江戸川 乱歩"
447,"老妓抄","岡本 かの子"
54372,"赤い蝋燭と人魚","小川 未明"
54404,"月夜とめがね","小川 未明"
51034,"野ばら","小川 未明"
932,"オシャベリ姫","かぐつち みどり, 夢野 久作"
466,"オツベルと象","宮沢 賢治"
46822,"ジャン・クリストフ","ロラン ロマン"
