id,title,author
1342,Pride and Prejudice,"Austen, Jane"
1080,"A Modest Proposal\nFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan"
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft"
16328,Beowulf: An Anglo-Saxon Epic Poem,
25525,"The Works of Edgar Allan Poe, The Raven Edition\nTable Of Contents And Index Of The Five Volumes","Poe, Edgar Allan"
2701,"Moby Dick; Or, The Whale","Melville, Herman"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis"
98,A Tale of Two Cities,"Dickens, Charles"
2542,A Doll's House : a play,"Ibsen, Henrik"
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan"
345,Dracula,"Stoker, Bram"
11,Alice's Adventures in Wonderland,"Carroll, Lewis"
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles"
6130,The Iliad,Homer
41,The Legend of Sleepy Hollow,"Irving, Washington"
25344,The Scarlet Letter,"Hawthorne, Nathaniel"
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David"
219,Heart of Darkness,"Conrad, Joseph"
76,Adventures of Huckleberry Finn,"Twain, Mark"
1260,Jane Eyre: An Autobiography,"Brontë, Charlotte"
2591,Grimms' Fairy Tales,"Grimm, Jacob"
1250,Anthem,"Rand, Ayn"
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)"
5200,Metamorphosis,"Kafka, Franz"
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar"
74,The Adventures of Tom Sawyer,"Twain, Mark"
1232,The Prince,"Machiavelli, Niccolò"
4300,Ulysses,"Joyce, James"
1635,Ion,Plato
160,"The Awakening, and Selected Short Stories","Chopin, Kate"
174,The Picture of Dorian Gray,"Wilde, Oscar"
1497,The Republic,Plato
1400,Great Expectations,"Dickens, Charles"
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick"
16,Peter Pan,"Barrie, J. M. (James Matthew)"
2600,War and Peace,"Tolstoy, Leo, graf"
3207,Leviathan,"Hobbes, Thomas"
20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin"
851,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,"Rowlandson, Mary White"
120,Treasure Island,"Stevenson, Robert Louis"
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan"
2814,Dubliners,"Joyce, James"
2554,Crime and Punishment,"Dostoyevsky, Fyodor"
158,Emma,"Austen, Jane"
15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African\nWritten By Himself","Equiano, Olaudah"
140,The Jungle,"Sinclair, Upton"
3600,Essays of Michel de Montaigne — Complete,"Montaigne, Michel de"
36,The War of the Worlds,"Wells, H. G. (Herbert George)"
514,Little Women,"Alcott, Louisa May"
