Meanings,J Translation,English Definition,pronunciation,POS
ability,能力,"The power, money, or skill to do something",əˈbɪləti,名詞(n.)
able,〜することができる,Having the ability to do something,ˈeɪbəl,形容詞(adj.)
about,～について,of (a subject); concerning,əˈbaʊt,前置詞(prep.)
above,〜の上に,In a higher place than something else,əˈbʌv,副詞(adv)
absolute,絶対的な；完全な,Complete and total,ˈæbsəˌlut,形容詞(adj.)
absolutely,完全に,completely; totally; very,ˌæbsəˈlutli,副詞(adv)
accept,受け入れる；受け取る,to agree to receive or take something offered,ækˈsɛpt,動詞(verb)
acceptable,許容できる,Satisfactory; good enough,ækˈsɛptəbəl,形容詞(adj.)
account,(預金)口座,arrangement with a bank to keep your money for you,əˈkaʊnt,名詞(n.)
across,横切って；交差して,From one side to the other of something,əˈkrɔs,副詞(adv)
act,行動する,To behave in a certain way,ækt,動詞(verb)
action,行動,Something that a person or thing does,ˈækʃən,名詞(n.)
actual,実際の,"Real or existing in fact, not imagined; real",ˈækʧuəl,形容詞(adj.)
actually,実際は,used to add new (often different) information,ˈækʧuəli,副詞(adv)
add,加える,"To put two things or numbers together, e.g. 2+2",æd,動詞(verb)
addition,追加,Fact of adding something; thing that is added,əˈdɪʃən,名詞(n.)
additional,追加の,Further or added,əˈdɪʃənəl,形容詞(adj.)
address,住所； アドレス,exact street location of a place,ˈæˌdrɛs,名詞(n.)
admit,認める,"To agree that you did something bad, or that something bad is true",ədˈmɪt,動詞(verb)
advertise,宣伝する,"to show how good a product is, to make people buy",ˈædvərˌtaɪz,動詞(verb)
advertisement,広告,"poster, TV, film showing advantages of new product",ədˈvɜrtəzmənt,名詞(n.)
afford,～する余裕がある,to have enough money to pay for something,əˈfɔrd,動詞(verb)
afraid,怖がって,Worried that something bad will happen; scared,əˈfreɪd,形容詞(adj.)
after,～後で；～を追って,"Later than another time, or behind something",ˈæftər,副詞(adv)
afternoon,午後,time after 12:00 and before the evening meal,ˌæftərˈnun,名詞(n.)
again,再び；その上,"One more time, once more",əˈgɛn,副詞(adv)
against,～に反対して,in opposition to; disagreeing with,əˈgɛnst,前置詞(prep.)
age,年齢,number of years a person has lived (also of things),eɪʤ,名詞(n.)
ago,～前に,At a specified length of time in the past,əˈgoʊ,副詞(adv)
